Epochs,1loss,1cls_loss,1box_loss,2loss,2cls_loss,2box_loss,3loss,3cls_loss,3box_loss,4loss,4cls_loss,4box_loss
276,,,,,,,0.2325,0.1048,3.80E-04,,,
277,,,,,,,0.2197,0.0887,4.45E-04,,,
278,,,,,,,0.2314,0.1011,4.32E-04,,,
279,,,,,,,0.2144,0.0865,3.83E-04,,,
280,,,,,,,0.2197,0.0907,4.05E-04,,,
281,,,,,,,0.2048,0.0775,3.72E-04,,,
282,,,,,,,0.2145,0.0894,3.28E-04,,,
283,,,,,,,0.2071,0.084,2.88E-04,,,
284,,,,,,,0.2271,0.0984,4.01E-04,,,
285,,,,,,,0.2037,0.0833,2.35E-04,,,
286,,,,,,,0.2362,0.1061,4.27E-04,,,
287,,,,,,,0.2097,0.0854,3.12E-04,,,
288,,,,,,,0.2138,0.087,3.63E-04,,,
289,,,,,,,0.2371,0.1056,4.57E-04,,,
290,,,,,,,0.2246,0.0905,5.08E-04,,,
291,,,,,,,0.1986,0.075,2.99E-04,,,
292,,,,,,,0.2161,0.0914,3.19E-04,,,
293,,,,,,,0.1992,0.0747,3.17E-04,,,
294,,,,,,,0.251,0.1149,5.49E-04,,,
295,,,,,,,0.2199,0.0869,4.87E-04,,,
296,,,,,,,0.2738,0.1202,8.98E-04,,,
297,,,,,,,0.2158,0.0848,4.46E-04,,,
298,,,,,,,0.2272,0.0955,4.60E-04,,,
299,,,,,,,0.206,0.0834,2.78E-04,,,
300,,,,,,,0.2208,0.0946,3.49E-04,,,
301,,,,,,,0.2149,0.0913,2.99E-04,,,
302,,,,,,,0.274,0.1312,6.83E-04,,,
303,,,,,,,0.219,0.0876,4.53E-04,,,
304,,,,,,,0.203,0.076,3.67E-04,,,
305,,,,,,,0.2096,0.087,2.78E-04,,,
306,,,,,,,0.2174,0.0901,3.73E-04,,,
307,,,,,,,0.19,0.0695,2.37E-04,,,
308,,,,,,,0.1999,0.0792,2.42E-04,,,
309,,,,,,,0.2142,0.0882,3.46E-04,,,
310,,,,,,,0.2293,0.0988,4.36E-04,,,
311,,,,,,,0.2,0.0776,2.74E-04,,,
312,,,,,,,0.2171,0.0936,2.96E-04,,,
